annee,voitures_particulieres_diesel,voitures_particulieres_essence,poids_lourds_diesel,bus_et_cars_diesel,vehicules_utilitaires_legers_diesel,vehicules_utilitaires_legers_essence,voitures_particulieres_gpl,vehicules_utilitaires_legers_gpl
2012-01-01,6.36,7.66,34.97,32.78,6.36,7.66,9.192,9.192
2013-01-01,6.21,7.5,34.81,32.47,6.21,7.5,9.0,9.0
2014-01-01,6.19,7.42,34.64,32.13,6.19,7.42,8.904,8.904
2015-01-01,6.16,7.42,34.5,31.81,6.16,7.42,8.904,8.904
2016-01-01,6.06,7.27,33.87,31.22,6.06,7.27,8.723999999999998,8.723999999999998
2017-01-01,6.07,7.31,34.06,31.4,6.07,7.31,8.771999999999998,8.771999999999998
2018-01-01,6.01,7.18,33.72,31.09,6.01,7.18,8.616,8.616
2019-01-01,6.1,7.1,32.9,30.5,6.1,7.1,8.52,8.52
2020-01-01,5.9,6.8,33.0,30.4,5.9,6.8,8.16,8.16
2021-01-01,5.9,6.8,33.0,30.4,5.9,6.8,8.16,8.16
2022-01-01,5.9,6.8,33.0,30.4,5.9,6.8,8.16,8.16
