,essence,diesel
1990,19760.0,3520.0
1991,19655.0,4025.0
1992,19340.0,4576.0
1993,18997.0,5206.0
1994,18721.5,5921.0
1995,18378.0,6622.0
1996,18096.0,7204.0
1997,18045.0,7750.0
1998,18131.0,8319.0
1999,18210.0,8935.0
2000,18149.5,9620.5
2001,17945.5,10434.5
2002,17574.5,11355.5
2003,17084.5,12275.5
2004,16570.5,13159.5
2005,16031.0,13969.0
2006,15504.5,14745.5
2007,15017.5,15532.5
2008,14437.5,16337.5
2009,13844.5,17105.5
2010,13363.5,17811.5
2011,12910.0,18515.0
2012,12454.0,19121.0
2013,12114.0,19511.0
2014,11984.5,19740.5
